white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
MOUSSARD Jules,2600,JU Wenjun,2563,X - X,English Opening,classical,2020-12-15,Tata Steel,Wijk aan Zee
MAMEDYAROV Shakhriyar,2738,SHUVALOVA Polina,2495,X - X,Scotch Game,classical,2020-01-09,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,SAVINA Anastasia,2324,X - X,Alekhine Defense,classical,2020-02-05,Sinquefield Cup,Saint Louis
HEJAZIPOUR Mitra,2309,SEBAG Marie,2448,X - X,Ruy Lopez,classical,2020-11-29,Candidates,Madrid
KONERU Humpy,2530,BACROT Etienne,2653,0 - 1,Queen's Gambit Accepted,blitz,2020-03-18,Titled Tuesday,NA
NAKAMURA Hikaru,2802,ANAND Viswanathan,2750,1 - 0,Petrov Defense,classical,2020-10-02,Isle of Man Open,Douglas
NIEMANN Hans Moke,2734,LEI Tingjie,2549,X - X,French Defense,classical,2020-08-16,Tata Steel,Wijk aan Zee
POLGAR Judith,2732,ABDUSATTOROV Nodirbek,2777,0 - 1,Reti Opening,classical,2020-07-30,World Cup,Baku
SKRIPCHENKO Almira,2361,CARLSEN Magnus,2831,1 - 0,Italian Game,rapid,2020-04-23,Grand Chess Tour Croatia,Zagreb
MOUSSARD Jules,2600,HOU Yifan,2633,1 - 0,Scandinavian Defense,classical,2020-11-07,Sinquefield Cup,Saint Louis
ZHU Jiner,2514,DZAGNIDZE Nana,2518,1 - 0,French Defense,classical,2020-05-05,Norway Chess,Stavanger
VIDIT Santosh Gujrathi,2739,GIRI Anish,2733,X - X,Caro-Kann Defense,blitz,2020-09-06,Titled Tuesday,NA
HOU Yifan,2633,SEBAG Marie,2448,1 - 0,Scotch Game,classical,2020-02-14,Candidates,Madrid
VACHIER-LAGRAVE Maxime,2737,JU Wenjun,2563,1 - 0,Scotch Game,blitz,2020-07-12,Titled Tuesday,NA
DZAGNIDZE Nana,2518,ARONIAN Levon,2739,X - X,Scandinavian Defense,classical,2020-11-18,Candidates,Madrid
POLGAR Judith,2732,CARUANA Fabiano,2805,1 - 0,Caro-Kann Defense,classical,2020-05-24,Sinquefield Cup,Saint Louis
DING Liren,2728,KRAMNIK Vladimir,2810,1 - 0,Scotch Game,blitz,2020-02-09,World Blitz Championship,Dubai
ANAND Viswanathan,2750,SKRIPCHENKO Almira,2361,X - X,Nimzo-Indian Defense,classical,2020-09-21,World Cup,Baku
KRAMNIK Vladimir,2810,VACHIER-LAGRAVE Maxime,2737,X - X,French Defense,classical,2020-12-25,Tata Steel,Wijk aan Zee
NAVROTESCU Andreea,2338,LAGARDE Maxime,2606,1 - 0,Larsen Opening,blitz,2020-10-11,Titled Tuesday,NA
GORYACHKINA Aleksandra,2528,NAKAMURA Hikaru,2802,0 - 1,Scandinavian Defense,classical,2020-06-27,Candidates,Madrid
POLGAR Judith,2732,MAMEDYAROV Shakhriyar,2738,1 - 0,Caro-Kann Defense,blitz,2020-04-02,Titled Tuesday,NA
SEBAG Marie,2448,NAKAMURA Hikaru,2802,X - X,Semi-Slav Defense,classical,2020-02-23,Norway Chess,Stavanger
KONERU Humpy,2530,DUDA Jan-Krzysztof,2740,1 - 0,King's Indian Defense,classical,2020-08-05,Tata Steel,Wijk aan Zee
ZHU Jiner,2514,LEI Tingjie,2549,X - X,Ruy Lopez,classical,2020-09-21,Isle of Man Open,Douglas
DRONAVALLI Harika,2493,SO Wesley,2747,X - X,Queen's Gambit Accepted,blitz,2020-05-04,World Blitz Championship,Dubai
ARONIAN Levon,2739,KOSTENIUK Alexandra,2487,X - X,Reti Opening,rapid,2020-04-11,Grand Chess Tour Croatia,Zagreb
POLGAR Judith,2732,DING Liren,2728,1 - 0,Semi-Slav Defense,rapid,2020-06-15,Grand Chess Tour Croatia,Zagreb
POLGAR Judith,2732,NAKAMURA Hikaru,2802,1 - 0,Ruy Lopez,classical,2020-12-31,Candidates,Madrid
WEI Yi,2753,KRAMNIK Vladimir,2810,1 - 0,English Opening,classical,2020-07-02,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,HEJAZIPOUR Mitra,2309,X - X,Caro-Kann Defense,classical,2020-02-08,Tata Steel,Wijk aan Zee
SO Wesley,2747,DZAGNIDZE Nana,2518,X - X,King's Indian Defense,classical,2020-04-25,Isle of Man Open,Douglas
JU Wenjun,2563,ARONIAN Levon,2739,X - X,Queen's Gambit Accepted,classical,2020-08-16,Candidates,Madrid
ABDUSATTOROV Nodirbek,2777,SO Wesley,2747,1 - 0,Queen's Gambit Accepted,classical,2020-05-09,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,DZAGNIDZE Nana,2518,X - X,Alekhine Defense,classical,2020-01-28,Tata Steel,Wijk aan Zee
NAKAMURA Hikaru,2802,HOU Yifan,2633,1 - 0,Berlin Defense,classical,2020-08-23,Sinquefield Cup,Saint Louis
ARONIAN Levon,2739,SO Wesley,2747,1 - 0,Nimzo-Indian Defense,classical,2020-03-23,Tata Steel,Wijk aan Zee
DING Liren,2728,MUZYCHUK Anna,2515,0 - 1,Caro-Kann Defense,rapid,2020-10-01,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,BACROT Etienne,2653,X - X,Caro-Kann Defense,classical,2020-11-07,Candidates,Madrid
SEBAG Marie,2448,LE Quang Liem,2739,X - X,Pirc Defense,rapid,2020-07-14,Grand Chess Tour Croatia,Zagreb
DUDA Jan-Krzysztof,2740,LE Quang Liem,2739,0 - 1,Dutch Defense,classical,2020-12-12,Candidates,Madrid
IGLESIAS Yosha,2296,KASHLINSKAYA Alina,2493,0 - 1,Nimzo-Indian Defense,classical,2020-10-26,Candidates,Madrid
GIRI Anish,2733,ZHU Jiner,2514,1 - 0,Pirc Defense,rapid,2020-01-29,Grand Chess Tour Croatia,Zagreb
DOMINGUEZ PEREZ Leinier,2741,DRONAVALLI Harika,2493,X - X,London System,classical,2020-05-12,Sinquefield Cup,Saint Louis
LAGARDE Maxime,2606,GIRI Anish,2733,1 - 0,Larsen Opening,rapid,2020-06-25,Grand Chess Tour Croatia,Zagreb
KEYMER Vincent,2733,ARONIAN Levon,2739,0 - 1,Caro-Kann Defense,blitz,2020-02-11,Titled Tuesday,NA
SKRIPCHENKO Almira,2361,MUZYCHUK Mariya,2505,1 - 0,Pirc Defense,rapid,2020-03-22,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,POLGAR Judith,2732,1 - 0,Dutch Defense,rapid,2020-06-13,Grand Chess Tour Croatia,Zagreb
BACROT Etienne,2653,SEBAG Marie,2448,1 - 0,Petrov Defense,classical,2020-02-26,Tata Steel,Wijk aan Zee
PRAGGNANANDHAA R,2737,KONERU Humpy,2530,1 - 0,Catalan Opening,classical,2020-10-01,Isle of Man Open,Douglas
MAMEDYAROV Shakhriyar,2738,DING Liren,2728,0 - 1,Scotch Game,blitz,2020-09-22,World Blitz Championship,Dubai
SKRIPCHENKO Almira,2361,NEPOMNIACHTCHI Ian,2755,X - X,Scandinavian Defense,classical,2020-03-30,Sinquefield Cup,Saint Louis
MOUSSARD Jules,2600,CARUANA Fabiano,2805,X - X,Dutch Defense,blitz,2020-04-08,World Blitz Championship,Dubai
VAISHALI Rameshbabu,2490,FIROUZJA Alireza,2763,0 - 1,Berlin Defense,classical,2020-04-13,Isle of Man Open,Douglas
MAMEDYAROV Shakhriyar,2738,DUDA Jan-Krzysztof,2740,X - X,English Opening,classical,2020-05-02,Candidates,Madrid
IGLESIAS Yosha,2296,DZAGNIDZE Nana,2518,0 - 1,Italian Game,classical,2020-01-06,Sinquefield Cup,Saint Louis
POLGAR Judith,2732,ASSAUBAYEVA Bibisara,2488,0 - 1,Semi-Slav Defense,classical,2020-02-12,Sinquefield Cup,Saint Louis
JU Wenjun,2563,LAGARDE Maxime,2606,X - X,French Defense,rapid,2020-07-08,Grand Chess Tour Croatia,Zagreb
GUICHARD Pauline,2357,MILLIET Sophie,2366,X - X,Alekhine Defense,classical,2020-04-05,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,JU Wenjun,2563,0 - 1,Scandinavian Defense,classical,2020-05-06,Tata Steel,Wijk aan Zee
MILLIET Sophie,2366,SAVINA Anastasia,2324,1 - 0,Caro-Kann Defense,classical,2020-12-13,Tata Steel,Wijk aan Zee
FRESSINET Laurent,2605,HEJAZIPOUR Mitra,2309,0 - 1,King's Indian Defense,classical,2020-09-21,Candidates,Madrid
CARUANA Fabiano,2805,GUKESH D,2783,X - X,King's Indian Defense,classical,2020-07-31,Isle of Man Open,Douglas
ASSAUBAYEVA Bibisara,2488,LAGNO Kateryna,2527,X - X,Grunfeld Defense,classical,2020-12-04,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,DING Liren,2728,1 - 0,French Defense,classical,2020-06-30,World Cup,Baku
GUICHARD Pauline,2357,LE Quang Liem,2739,X - X,Larsen Opening,classical,2020-10-09,Sinquefield Cup,Saint Louis
KOSTENIUK Alexandra,2487,MUZYCHUK Anna,2515,1 - 0,Alekhine Defense,classical,2020-01-25,Sinquefield Cup,Saint Louis
KOSTENIUK Alexandra,2487,ARONIAN Levon,2739,X - X,Pirc Defense,classical,2020-09-18,Candidates,Madrid
ERIGAISI Arjun,2799,GUKESH D,2783,X - X,London System,classical,2020-09-07,Tata Steel,Wijk aan Zee
FRESSINET Laurent,2605,ASSAUBAYEVA Bibisara,2488,X - X,Caro-Kann Defense,blitz,2020-02-13,World Blitz Championship,Dubai
VIDIT Santosh Gujrathi,2739,SAVINA Anastasia,2324,1 - 0,Vienna Game,classical,2020-08-09,Candidates,Madrid
SHUVALOVA Polina,2495,NIEMANN Hans Moke,2734,X - X,Petrov Defense,classical,2020-04-24,Candidates,Madrid
SEBAG Marie,2448,LAGARDE Maxime,2606,X - X,London System,rapid,2020-02-24,Grand Chess Tour Croatia,Zagreb
FIROUZJA Alireza,2763,ERIGAISI Arjun,2799,X - X,Larsen Opening,classical,2020-10-11,Sinquefield Cup,Saint Louis
KEYMER Vincent,2733,MUZYCHUK Mariya,2505,0 - 1,Sicilian Defense,classical,2020-11-05,Norway Chess,Stavanger
LEI Tingjie,2549,WEI Yi,2753,0 - 1,Larsen Opening,blitz,2020-02-06,World Blitz Championship,Dubai
MUZYCHUK Anna,2515,NAVROTESCU Andreea,2338,1 - 0,Berlin Defense,classical,2020-01-24,Tata Steel,Wijk aan Zee
CARUANA Fabiano,2805,KRAMNIK Vladimir,2810,1 - 0,Grunfeld Defense,classical,2020-07-04,Sinquefield Cup,Saint Louis
LE Quang Liem,2739,SCHIPPKE Manon,2272,0 - 1,Alekhine Defense,rapid,2020-10-07,World Rapid Championship,Samarkand
BACROT Etienne,2653,DZAGNIDZE Nana,2518,X - X,Queen's Gambit Accepted,classical,2020-07-05,Sinquefield Cup,Saint Louis
MAMEDYAROV Shakhriyar,2738,SKRIPCHENKO Almira,2361,X - X,French Defense,classical,2020-12-28,Sinquefield Cup,Saint Louis
DOMINGUEZ PEREZ Leinier,2741,NAVROTESCU Andreea,2338,1 - 0,Nimzo-Indian Defense,classical,2020-08-19,Sinquefield Cup,Saint Louis
ANAND Viswanathan,2750,FRESSINET Laurent,2605,X - X,Queen's Gambit Accepted,classical,2020-10-17,Sinquefield Cup,Saint Louis
DUDA Jan-Krzysztof,2740,TAN Zhongyi,2551,0 - 1,Semi-Slav Defense,classical,2020-04-27,Candidates,Madrid
DUDA Jan-Krzysztof,2740,KASHLINSKAYA Alina,2493,1 - 0,Sicilian Defense,classical,2020-02-13,Tata Steel,Wijk aan Zee
KEYMER Vincent,2733,GIRI Anish,2733,0 - 1,French Defense,classical,2020-08-13,Tata Steel,Wijk aan Zee
GUKESH D,2783,DZAGNIDZE Nana,2518,1 - 0,Dutch Defense,classical,2020-07-22,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,KEYMER Vincent,2733,X - X,Larsen Opening,classical,2020-02-29,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,KOSTENIUK Alexandra,2487,X - X,Caro-Kann Defense,classical,2020-12-27,Candidates,Madrid
DZAGNIDZE Nana,2518,ZHU Jiner,2514,1 - 0,Dutch Defense,rapid,2020-05-11,Grand Chess Tour Croatia,Zagreb
NIEMANN Hans Moke,2734,ZHU Jiner,2514,X - X,Dutch Defense,rapid,2020-06-16,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,DOMINGUEZ PEREZ Leinier,2741,X - X,Berlin Defense,classical,2020-04-06,World Cup,Baku
MILLIET Sophie,2366,DAULYTE-CORNETTE Deimante,2371,X - X,Queen's Gambit Accepted,classical,2020-04-03,World Cup,Baku
MUZYCHUK Anna,2515,NAVROTESCU Andreea,2338,0 - 1,Larsen Opening,classical,2020-02-05,Tata Steel,Wijk aan Zee
GORYACHKINA Aleksandra,2528,NEPOMNIACHTCHI Ian,2755,0 - 1,Semi-Slav Defense,classical,2020-05-01,World Cup,Baku
LEI Tingjie,2549,JU Wenjun,2563,X - X,King's Indian Defense,classical,2020-02-02,Candidates,Madrid
DAULYTE-CORNETTE Deimante,2371,POLGAR Judith,2732,X - X,French Defense,classical,2020-08-16,Tata Steel,Wijk aan Zee
GUKESH D,2783,SAVINA Anastasia,2324,0 - 1,Pirc Defense,classical,2020-01-09,Tata Steel,Wijk aan Zee
MOUSSARD Jules,2600,CARLSEN Magnus,2831,1 - 0,French Defense,rapid,2020-08-09,Grand Chess Tour Croatia,Zagreb
LEI Tingjie,2549,NEPOMNIACHTCHI Ian,2755,X - X,King's Indian Defense,classical,2020-07-19,Tata Steel,Wijk aan Zee
DRONAVALLI Harika,2493,GUICHARD Pauline,2357,X - X,Italian Game,classical,2020-06-14,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,NEPOMNIACHTCHI Ian,2755,X - X,Larsen Opening,rapid,2020-01-07,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,MUZYCHUK Anna,2515,1 - 0,Petrov Defense,rapid,2020-06-22,Grand Chess Tour Croatia,Zagreb
KEYMER Vincent,2733,LEI Tingjie,2549,X - X,Pirc Defense,classical,2020-02-01,Tata Steel,Wijk aan Zee
LAGARDE Maxime,2606,NAKAMURA Hikaru,2802,1 - 0,Larsen Opening,classical,2020-04-22,Norway Chess,Stavanger
VIDIT Santosh Gujrathi,2739,TAN Zhongyi,2551,1 - 0,Vienna Game,blitz,2020-05-09,World Blitz Championship,Dubai
SAVINA Anastasia,2324,ABDUSATTOROV Nodirbek,2777,0 - 1,Larsen Opening,classical,2020-02-28,Norway Chess,Stavanger
NAVROTESCU Andreea,2338,KASHLINSKAYA Alina,2493,0 - 1,Semi-Slav Defense,classical,2020-06-20,Sinquefield Cup,Saint Louis
ARONIAN Levon,2739,ABDUSATTOROV Nodirbek,2777,1 - 0,Caro-Kann Defense,classical,2020-10-11,Candidates,Madrid
LAGARDE Maxime,2606,DZAGNIDZE Nana,2518,X - X,Dutch Defense,blitz,2020-12-07,World Blitz Championship,Dubai
ERIGAISI Arjun,2799,GUKESH D,2783,1 - 0,Scotch Game,classical,2020-07-01,Candidates,Madrid
WEI Yi,2753,ERIGAISI Arjun,2799,X - X,Alekhine Defense,rapid,2020-10-12,Grand Chess Tour Croatia,Zagreb
SKRIPCHENKO Almira,2361,IGLESIAS Yosha,2296,X - X,Italian Game,classical,2020-01-21,Isle of Man Open,Douglas
MUZYCHUK Anna,2515,NIEMANN Hans Moke,2734,X - X,Pirc Defense,rapid,2020-02-20,Grand Chess Tour Croatia,Zagreb
CARUANA Fabiano,2805,IGLESIAS Yosha,2296,X - X,Petrov Defense,rapid,2020-12-30,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,ARONIAN Levon,2739,X - X,Berlin Defense,classical,2020-05-26,Sinquefield Cup,Saint Louis
NAVROTESCU Andreea,2338,KONERU Humpy,2530,1 - 0,Larsen Opening,blitz,2020-05-17,World Blitz Championship,Dubai
SCHIPPKE Manon,2272,VAISHALI Rameshbabu,2490,1 - 0,Dutch Defense,classical,2020-09-17,Candidates,Madrid
ZHU Jiner,2514,TAN Zhongyi,2551,X - X,Vienna Game,classical,2020-06-18,Tata Steel,Wijk aan Zee
DING Liren,2728,DRONAVALLI Harika,2493,X - X,Dutch Defense,classical,2020-02-18,Sinquefield Cup,Saint Louis
ABDUSATTOROV Nodirbek,2777,DUDA Jan-Krzysztof,2740,0 - 1,Reti Opening,classical,2020-08-17,World Cup,Baku
DUDA Jan-Krzysztof,2740,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Caro-Kann Defense,rapid,2020-06-25,World Rapid Championship,Samarkand
CARLSEN Magnus,2831,MUZYCHUK Anna,2515,1 - 0,English Opening,classical,2020-10-24,Candidates,Madrid
GORYACHKINA Aleksandra,2528,MUZYCHUK Mariya,2505,1 - 0,Larsen Opening,rapid,2020-06-25,World Rapid Championship,Samarkand
WEI Yi,2753,ABDUSATTOROV Nodirbek,2777,1 - 0,Italian Game,classical,2020-01-01,Candidates,Madrid
SHUVALOVA Polina,2495,SAVINA Anastasia,2324,1 - 0,Nimzo-Indian Defense,classical,2020-01-03,Candidates,Madrid
LAGARDE Maxime,2606,KASHLINSKAYA Alina,2493,X - X,King's Indian Defense,classical,2020-02-10,Tata Steel,Wijk aan Zee
PRAGGNANANDHAA R,2737,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Alekhine Defense,classical,2020-12-23,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,DUDA Jan-Krzysztof,2740,1 - 0,Italian Game,classical,2020-06-13,Candidates,Madrid
LAGARDE Maxime,2606,DAULYTE-CORNETTE Deimante,2371,X - X,Berlin Defense,classical,2020-01-19,Sinquefield Cup,Saint Louis
HOU Yifan,2633,ABDUSATTOROV Nodirbek,2777,1 - 0,Petrov Defense,classical,2020-12-06,Tata Steel,Wijk aan Zee
LEI Tingjie,2549,ARONIAN Levon,2739,1 - 0,Italian Game,classical,2020-11-29,Tata Steel,Wijk aan Zee
SCHIPPKE Manon,2272,SAVINA Anastasia,2324,X - X,Scotch Game,classical,2020-08-10,Tata Steel,Wijk aan Zee
LE Quang Liem,2739,GUICHARD Pauline,2357,1 - 0,Caro-Kann Defense,classical,2020-09-21,Candidates,Madrid
HOU Yifan,2633,TAN Zhongyi,2551,X - X,Petrov Defense,classical,2020-09-04,World Cup,Baku
VACHIER-LAGRAVE Maxime,2737,DING Liren,2728,X - X,Alekhine Defense,rapid,2020-12-27,World Rapid Championship,Samarkand
SAVINA Anastasia,2324,SCHIPPKE Manon,2272,X - X,French Defense,classical,2020-09-12,Tata Steel,Wijk aan Zee
ZHU Jiner,2514,KONERU Humpy,2530,0 - 1,Semi-Slav Defense,classical,2020-02-11,Sinquefield Cup,Saint Louis
BACROT Etienne,2653,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Catalan Opening,classical,2020-01-05,Sinquefield Cup,Saint Louis
ABDUSATTOROV Nodirbek,2777,BACROT Etienne,2653,X - X,Caro-Kann Defense,classical,2020-07-15,Sinquefield Cup,Saint Louis
ANAND Viswanathan,2750,PRAGGNANANDHAA R,2737,1 - 0,Semi-Slav Defense,classical,2020-03-12,Sinquefield Cup,Saint Louis
GORYACHKINA Aleksandra,2528,ABDUSATTOROV Nodirbek,2777,1 - 0,Nimzo-Indian Defense,classical,2020-12-05,Candidates,Madrid
LAGNO Kateryna,2527,DRONAVALLI Harika,2493,X - X,Queen's Gambit Accepted,blitz,2020-04-27,Titled Tuesday,NA
LEI Tingjie,2549,NIEMANN Hans Moke,2734,X - X,Italian Game,classical,2020-05-29,Isle of Man Open,Douglas
SEBAG Marie,2448,ASSAUBAYEVA Bibisara,2488,X - X,Ruy Lopez,classical,2020-12-29,Candidates,Madrid
FIROUZJA Alireza,2763,SO Wesley,2747,X - X,French Defense,classical,2020-04-09,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,JU Wenjun,2563,X - X,Ruy Lopez,classical,2020-09-29,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,BACROT Etienne,2653,0 - 1,Italian Game,classical,2020-02-27,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,LE Quang Liem,2739,1 - 0,Alekhine Defense,classical,2020-04-23,Sinquefield Cup,Saint Louis
ARONIAN Levon,2739,NAVROTESCU Andreea,2338,1 - 0,Grunfeld Defense,classical,2020-10-31,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,FRESSINET Laurent,2605,1 - 0,Catalan Opening,classical,2020-08-08,Sinquefield Cup,Saint Louis
NEPOMNIACHTCHI Ian,2755,BACROT Etienne,2653,0 - 1,Alekhine Defense,rapid,2020-11-08,Grand Chess Tour Croatia,Zagreb
ANAND Viswanathan,2750,LE Quang Liem,2739,X - X,Queen's Gambit Accepted,blitz,2020-05-18,World Blitz Championship,Dubai
SAVINA Anastasia,2324,HEJAZIPOUR Mitra,2309,X - X,Reti Opening,classical,2020-05-31,Sinquefield Cup,Saint Louis
SAVINA Anastasia,2324,KASPAROV Garry,2850,X - X,Berlin Defense,classical,2020-06-25,Sinquefield Cup,Saint Louis
DOMINGUEZ PEREZ Leinier,2741,GUKESH D,2783,X - X,French Defense,classical,2020-10-21,Tata Steel,Wijk aan Zee
DZAGNIDZE Nana,2518,JU Wenjun,2563,X - X,Sicilian Defense,rapid,2020-12-12,Grand Chess Tour Croatia,Zagreb
SAVINA Anastasia,2324,DING Liren,2728,X - X,French Defense,rapid,2020-11-08,Grand Chess Tour Croatia,Zagreb
MOUSSARD Jules,2600,SEBAG Marie,2448,X - X,Alekhine Defense,classical,2020-07-24,Tata Steel,Wijk aan Zee
VIDIT Santosh Gujrathi,2739,MAMEDYAROV Shakhriyar,2738,1 - 0,Dutch Defense,classical,2020-03-19,Candidates,Madrid
MUZYCHUK Anna,2515,SHUVALOVA Polina,2495,X - X,King's Indian Defense,classical,2020-05-30,Isle of Man Open,Douglas
PRAGGNANANDHAA R,2737,DUDA Jan-Krzysztof,2740,1 - 0,Catalan Opening,classical,2020-07-13,Tata Steel,Wijk aan Zee
IGLESIAS Yosha,2296,BACROT Etienne,2653,X - X,Caro-Kann Defense,rapid,2020-09-15,Grand Chess Tour Croatia,Zagreb
ABDUSATTOROV Nodirbek,2777,MAMEDYAROV Shakhriyar,2738,1 - 0,Sicilian Defense,classical,2020-01-10,Candidates,Madrid
LEI Tingjie,2549,SEBAG Marie,2448,X - X,Vienna Game,classical,2020-05-25,Norway Chess,Stavanger
VAISHALI Rameshbabu,2490,CARLSEN Magnus,2831,1 - 0,French Defense,rapid,2020-05-27,World Rapid Championship,Samarkand
WEI Yi,2753,SKRIPCHENKO Almira,2361,0 - 1,Petrov Defense,blitz,2020-11-02,World Blitz Championship,Dubai
GORYACHKINA Aleksandra,2528,KASPAROV Garry,2850,X - X,Catalan Opening,classical,2020-01-13,Sinquefield Cup,Saint Louis
KEYMER Vincent,2733,ARONIAN Levon,2739,X - X,Italian Game,classical,2020-06-04,Sinquefield Cup,Saint Louis
VAISHALI Rameshbabu,2490,ASSAUBAYEVA Bibisara,2488,X - X,King's Indian Defense,classical,2020-03-15,Tata Steel,Wijk aan Zee
FIROUZJA Alireza,2763,MOUSSARD Jules,2600,X - X,London System,blitz,2020-10-31,World Blitz Championship,Dubai
NAVROTESCU Andreea,2338,DUDA Jan-Krzysztof,2740,1 - 0,Larsen Opening,rapid,2020-01-15,World Rapid Championship,Samarkand
ABDUSATTOROV Nodirbek,2777,SEBAG Marie,2448,X - X,London System,rapid,2020-10-02,Grand Chess Tour Croatia,Zagreb
GUICHARD Pauline,2357,MUZYCHUK Anna,2515,1 - 0,London System,classical,2020-07-07,Sinquefield Cup,Saint Louis
CARLSEN Magnus,2831,DAULYTE-CORNETTE Deimante,2371,0 - 1,Ruy Lopez,classical,2020-03-28,Norway Chess,Stavanger
TAN Zhongyi,2551,DING Liren,2728,X - X,King's Indian Defense,classical,2020-11-07,Candidates,Madrid
DZAGNIDZE Nana,2518,DING Liren,2728,1 - 0,Nimzo-Indian Defense,classical,2020-05-08,Tata Steel,Wijk aan Zee
VAISHALI Rameshbabu,2490,NEPOMNIACHTCHI Ian,2755,X - X,French Defense,rapid,2020-04-27,World Rapid Championship,Samarkand
GORYACHKINA Aleksandra,2528,KONERU Humpy,2530,X - X,Larsen Opening,classical,2020-05-27,Candidates,Madrid
DING Liren,2728,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Alekhine Defense,rapid,2020-11-28,Grand Chess Tour Croatia,Zagreb
LE Quang Liem,2739,ANAND Viswanathan,2750,X - X,Pirc Defense,classical,2020-04-21,World Cup,Baku
SO Wesley,2747,GORYACHKINA Aleksandra,2528,1 - 0,Catalan Opening,classical,2020-02-27,Sinquefield Cup,Saint Louis
HOU Yifan,2633,NAKAMURA Hikaru,2802,1 - 0,Scandinavian Defense,rapid,2020-08-06,Grand Chess Tour Croatia,Zagreb
WEI Yi,2753,BACROT Etienne,2653,0 - 1,English Opening,classical,2020-08-26,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,GIRI Anish,2733,X - X,Semi-Slav Defense,classical,2020-09-27,Norway Chess,Stavanger
SKRIPCHENKO Almira,2361,IGLESIAS Yosha,2296,X - X,French Defense,rapid,2020-11-11,Grand Chess Tour Croatia,Zagreb
SHUVALOVA Polina,2495,LAGARDE Maxime,2606,1 - 0,King's Indian Defense,classical,2020-09-16,Isle of Man Open,Douglas
ERIGAISI Arjun,2799,VACHIER-LAGRAVE Maxime,2737,0 - 1,Berlin Defense,classical,2020-03-09,Tata Steel,Wijk aan Zee
JU Wenjun,2563,ANAND Viswanathan,2750,X - X,Catalan Opening,rapid,2020-01-03,Grand Chess Tour Croatia,Zagreb
POLGAR Judith,2732,HOU Yifan,2633,1 - 0,Semi-Slav Defense,rapid,2020-01-28,Grand Chess Tour Croatia,Zagreb
GUKESH D,2783,KONERU Humpy,2530,X - X,Vienna Game,classical,2020-01-04,Sinquefield Cup,Saint Louis
VIDIT Santosh Gujrathi,2739,MOUSSARD Jules,2600,1 - 0,Ruy Lopez,classical,2020-06-24,Candidates,Madrid
DZAGNIDZE Nana,2518,MUZYCHUK Anna,2515,X - X,Alekhine Defense,classical,2020-11-05,Sinquefield Cup,Saint Louis
VIDIT Santosh Gujrathi,2739,ARONIAN Levon,2739,X - X,Alekhine Defense,rapid,2020-05-26,Grand Chess Tour Croatia,Zagreb
POLGAR Judith,2732,MAMEDYAROV Shakhriyar,2738,0 - 1,French Defense,classical,2020-06-29,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,MILLIET Sophie,2366,0 - 1,Italian Game,rapid,2020-02-10,Grand Chess Tour Croatia,Zagreb
KASHLINSKAYA Alina,2493,LE Quang Liem,2739,X - X,Grunfeld Defense,classical,2020-12-14,Tata Steel,Wijk aan Zee
NIEMANN Hans Moke,2734,GIRI Anish,2733,1 - 0,French Defense,classical,2020-02-13,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,GUICHARD Pauline,2357,1 - 0,French Defense,classical,2020-09-03,Sinquefield Cup,Saint Louis
FIROUZJA Alireza,2763,DRONAVALLI Harika,2493,X - X,Ruy Lopez,classical,2020-06-25,Candidates,Madrid
DUDA Jan-Krzysztof,2740,PRAGGNANANDHAA R,2737,0 - 1,London System,classical,2020-06-27,World Cup,Baku
HOU Yifan,2633,VAISHALI Rameshbabu,2490,X - X,Ruy Lopez,classical,2020-04-15,Norway Chess,Stavanger
KOSTENIUK Alexandra,2487,FRESSINET Laurent,2605,X - X,Reti Opening,rapid,2020-12-28,Grand Chess Tour Croatia,Zagreb
